customer_id,age,gender,loyalty_member,join_date
C000142,28,Male,Yes,2024-06-16
C000143,63,Female,No,2021-08-02
C000144,28,Male,Yes,2022-05-27
C000145,70,Male,Yes,2022-11-13
C000146,62,Male,No,2024-09-24
C000147,28,Female,No,2023-07-31
C000148,58,Female,No,2024-11-23
C000149,48,Male,No,2025-01-10
C000150,48,Male,Yes,2025-01-22
C000151,21,Female,No,2023-01-17
C000152,22,Female,Yes,2024-03-15
C000153,20,Female,Yes,2024-03-18
C000154,25,Female,No,2025-02-09
C000155,55,Female,Yes,2025-02-05
C000156,51,Male,Yes,2023-08-11
C000157,54,Female,Yes,2022-11-25
C000158,33,Male,Yes,2025-07-05
C000159,37,Male,Yes,2023-06-09
C000160,22,Female,Yes,2024-06-20
C000161,41,Male,No,2022-12-28
C000162,58,Female,No,2025-10-28
C000163,46,Female,No,2025-04-21
C000164,57,Female,No,2021-04-08
C000165,60,Female,No,2025-04-04
C000166,26,Male,Yes,2022-09-23
C000167,24,Male,Yes,2023-09-05
C000168,44,Male,No,2022-02-05
C000169,18,Female,No,2022-12-16
C000170,19,Male,Yes,2025-07-29
C000171,60,Male,Yes,2022-01-16
C000172,62,Male,Yes,2023-03-17
C000173,64,Male,Yes,2024-06-05
C000174,36,Male,Yes,2023-09-27
C000175,29,Female,No,2025-05-21
C000176,62,Male,No,2021-12-07
C000177,67,Female,Yes,2023-06-26
C000178,63,Male,No,2023-03-25
C000179,26,Male,Yes,2025-02-12
C000180,52,Male,No,2024-03-02
C000181,62,Male,Yes,2024-07-28
C000182,54,Female,Yes,2022-03-11
C000183,47,Female,No,2021-05-08
C000184,33,Female,No,2025-09-22
C000185,61,Male,No,2024-09-18
C000186,24,Male,No,2025-07-08
C000187,64,Female,Yes,2023-01-22
C000188,29,Male,No,2024-10-15
C000189,63,Female,Yes,2022-04-16
C000190,52,Male,No,2024-03-22
C000191,37,Male,Yes,2021-12-11
C000192,37,Female,Yes,2026-02-02
C000193,63,Male,Yes,2021-12-08
C000194,20,Male,No,2022-02-14
C000195,49,Male,Yes,2021-12-27
C000196,66,Female,Yes,2025-04-11
C000197,61,Female,No,2024-05-09
C000198,65,Male,Yes,2023-01-25
C000199,39,Male,No,2021-03-22
C000200,39,Male,Yes,2021-12-10
C000201,65,Male,Yes,2023-11-24
C000202,47,Female,Yes,2024-09-03
C000203,37,Female,Yes,2025-03-26
C000204,18,Male,No,2025-10-08
C000205,48,Male,No,2024-07-24
C000206,69,Female,Yes,2021-05-26
C000207,36,Male,No,2023-03-03
C000208,44,Male,No,2025-12-05
C000209,46,Male,No,2021-07-13
C000210,41,Female,Yes,2022-06-18
C000211,34,Male,Yes,2021-11-24
C000212,70,Female,No,2021-11-13
C000213,49,Male,Yes,2022-01-03
C000214,51,Male,Yes,2023-06-23
C000215,31,Female,Yes,2022-11-26
C000216,49,Male,No,2025-07-24
C000217,53,Male,No,2023-08-25
C000218,22,Male,No,2022-09-25
C000219,43,Male,No,2024-08-06
C000220,58,Male,Yes,2023-03-31
C000221,19,Male,Yes,2022-07-25
C000222,47,Female,Yes,2024-11-23
C000223,54,Male,Yes,2024-08-17
C000224,47,Female,Yes,2021-06-12
C000225,47,Female,Yes,2021-10-19
C000226,35,Male,No,2023-01-17
C000227,23,Female,No,2022-12-28
C000228,49,Female,No,2024-05-14
C000229,24,Male,Yes,2024-07-06
C000230,25,Female,No,2021-03-16
C000231,43,Female,No,2022-05-01
C000232,62,Male,Yes,2024-03-14
C000233,54,Female,Yes,2023-04-01
C000234,25,Female,No,2022-10-26
C000235,63,Male,No,2023-06-19
C000236,52,Female,No,2021-07-14
C000237,59,Male,No,2024-09-19
C000238,25,Female,Yes,2021-06-23
C000239,18,Male,No,2024-04-10
C000240,20,Male,Yes,2024-05-10
C000241,39,Female,Yes,2025-08-22
C000242,25,Male,No,2025-08-04
C000243,62,Male,Yes,2022-12-01
C000244,42,Male,Yes,2023-04-10
C000245,38,Female,Yes,2021-11-19
C000246,29,Male,No,2023-08-30
C000247,54,Female,Yes,2025-06-02
C000248,38,Female,Yes,2023-06-18
C000249,48,Female,No,2024-03-03
C000250,60,Female,No,2022-12-08
C000251,70,Female,No,2023-03-19
C000252,65,Male,Yes,2021-08-23
C000253,52,Female,Yes,2023-07-23
C000254,29,Female,No,2025-09-07
C000255,27,Female,Yes,2021-11-24
C000256,48,Female,Yes,2023-11-23
C000257,31,Female,No,2022-11-28
C000258,45,Male,Yes,2025-02-11
C000259,52,Male,Yes,2026-02-16
C000260,64,Male,No,2024-04-18
C000261,22,Female,No,2026-02-06
C000262,44,Male,No,2024-08-27
C000263,26,Male,No,2022-09-14
C000264,63,Male,No,2025-06-07
C000265,54,Female,Yes,2022-07-10
C000266,27,Male,Yes,2025-02-19
C000267,49,Male,Yes,2024-11-21
C000268,25,Male,Yes,2023-11-09
C000269,44,Male,Yes,2025-12-08
C000270,19,Female,No,2022-06-22
C000271,43,Male,No,2025-03-22
C000272,62,Female,No,2025-09-24
C000273,55,Male,Yes,2024-08-10
C000274,20,Female,Yes,2025-06-06
C000275,43,Male,No,2025-06-21
C000276,25,Male,No,2023-06-29
C000277,57,Female,No,2023-09-03
C000278,34,Male,No,2023-02-08
C000279,63,Female,No,2025-12-03
C000280,36,Female,Yes,2024-01-26
C000281,60,Female,Yes,2024-11-04
C000282,41,Female,No,2024-08-31
C000283,61,Female,No,2022-08-28
C000284,29,Male,Yes,2025-01-08
C000285,42,Female,Yes,2022-01-22
C000286,51,Male,Yes,2026-02-26
C000287,48,Female,Yes,2026-01-18
C000288,45,Female,Yes,2021-06-23
C000289,68,Female,Yes,2024-02-16
C000290,65,Male,No,2023-08-28
C000291,47,Male,No,2023-11-01
C000292,55,Female,Yes,2023-07-08
C000293,57,Female,Yes,2025-08-21
C000294,38,Male,No,2022-05-24
C000295,44,Female,No,2022-01-06
C000296,65,Male,Yes,2025-12-22
C000297,66,Female,Yes,2021-08-03
C000298,38,Female,No,2022-11-01
C000299,68,Male,No,2025-07-18
C000300,24,Female,Yes,2024-07-11
C000301,33,Female,Yes,2021-10-07
C000302,55,Male,Yes,2024-03-19
C000303,58,Male,Yes,2022-01-26
C000304,29,Female,Yes,2021-04-06
C000305,43,Female,Yes,2024-12-09
C000306,27,Male,Yes,2021-04-19
C000307,70,Female,No,2024-08-29
C000308,22,Female,Yes,2026-01-13
C000309,35,Male,Yes,2023-08-12
C000310,66,Male,Yes,2022-10-11
C000311,21,Male,No,2021-11-23
C000312,40,Male,No,2024-12-16
C000313,42,Female,Yes,2022-10-13
C000314,25,Male,No,2025-11-05
C000315,22,Male,Yes,2021-04-22
C000316,64,Female,No,2021-10-29
C000317,48,Male,No,2025-05-22
C000318,45,Female,No,2024-05-17
C000319,53,Female,Yes,2023-11-26
C000320,50,Male,No,2023-05-07
C000321,68,Female,No,2025-04-12
C000322,49,Female,Yes,2021-03-21
C000323,61,Female,No,2023-04-07
C000324,29,Male,Yes,2022-07-22
C000325,69,Male,Yes,2021-03-30
C000326,59,Male,No,2024-12-18
C000327,66,Male,No,2024-01-02
C000328,21,Male,Yes,2023-02-25
C000329,40,Male,Yes,2025-04-23
C000330,30,Male,Yes,2021-12-09
C000331,32,Male,No,2024-06-04
C000332,21,Male,No,2025-05-08
C000333,55,Male,No,2025-12-14
C000334,66,Female,Yes,2024-05-25
C000335,22,Female,No,2024-09-18
C000336,37,Male,Yes,2022-07-13
C000337,53,Male,Yes,2025-03-03
C000338,42,Female,Yes,2025-05-03
C000339,47,Female,Yes,2024-07-22
C000340,42,Male,Yes,2023-02-04
C000341,65,Male,Yes,2022-04-22
C000342,64,Female,Yes,2024-07-21
C000343,22,Female,Yes,2025-09-02
C000344,44,Male,Yes,2024-01-20
C000345,44,Female,Yes,2024-12-18
C000346,30,Male,No,2025-11-02
C000347,42,Male,Yes,2025-12-06
C000348,69,Male,No,2024-08-08
C000349,27,Female,Yes,2025-06-16
C000350,40,Male,No,2025-01-08
C000351,44,Female,Yes,2022-07-25
C000352,65,Male,Yes,2025-11-23
C000353,39,Male,No,2023-03-04
C000354,63,Female,No,2022-01-07
C000355,68,Male,Yes,2023-05-26
C000356,61,Female,No,2022-09-03
C000357,53,Female,No,2023-03-21
C000358,45,Female,No,2023-04-08
C000359,51,Female,No,2022-08-22
C000360,64,Male,Yes,2023-12-11
C000361,57,Male,No,2021-07-01
C000362,35,Female,No,2021-08-10
C000363,30,Female,No,2024-09-10
C000364,44,Female,No,2022-10-21
C000365,36,Female,No,2024-02-17
C000366,50,Female,Yes,2024-06-17
C000367,57,Male,No,2022-01-09
C000368,40,Male,No,2023-11-19
C000369,65,Female,Yes,2022-12-04
C000370,23,Male,Yes,2023-08-15
C000371,45,Female,Yes,2023-11-03
C000372,38,Male,No,2023-04-20
C000373,67,Female,No,2026-01-10
C000374,23,Male,Yes,2023-02-22
C000375,59,Male,Yes,2022-04-02
C000376,47,Male,Yes,2025-11-29
C000377,70,Male,No,2025-11-06
C000378,67,Female,Yes,2026-02-17
C000379,62,Male,Yes,2021-08-16
C000380,27,Male,Yes,2024-08-21
C000381,18,Male,No,2026-01-04
C000382,58,Male,No,2024-08-25
C000383,22,Female,Yes,2021-05-09
C000384,39,Female,Yes,2022-06-11
C000385,68,Female,Yes,2022-12-01
C000386,25,Male,Yes,2025-03-25
C000387,25,Female,Yes,2021-08-04
C000388,25,Male,Yes,2026-01-21
C000389,69,Male,Yes,2022-08-03
C000390,51,Female,Yes,2021-09-23
C000391,40,Male,No,2024-12-01
C000392,36,Female,Yes,2023-01-05
C000393,22,Female,Yes,2021-06-17
C000394,46,Female,Yes,2026-01-10
C000395,37,Male,Yes,2023-12-22
C000396,57,Male,No,2025-11-30
C000397,30,Male,No,2026-01-05
C000398,67,Male,Yes,2022-06-12
C000399,59,Male,No,2021-04-16
C000400,25,Male,Yes,2022-07-17
C000401,39,Male,Yes,2025-05-07
C000402,51,Male,Yes,2022-07-16
C000403,28,Female,No,2025-05-29
C000404,47,Male,Yes,2024-10-20
C000405,49,Male,No,2023-03-28
C000406,57,Male,No,2023-09-26
C000407,32,Female,Yes,2022-10-14
C000408,60,Male,Yes,2022-11-17
C000409,24,Male,Yes,2022-06-05
C000410,68,Female,Yes,2022-06-22
C000411,27,Male,Yes,2021-09-09
C000412,24,Male,No,2023-10-26
C000413,57,Female,No,2022-02-08
C000414,46,Female,No,2023-07-28
C000415,40,Male,No,2021-08-02
C000416,41,Male,No,2021-10-22
C000417,60,Female,Yes,2025-04-20
C000418,54,Female,No,2024-01-28
C000419,56,Male,Yes,2024-03-21
C000420,42,Male,No,2023-04-10
C000421,59,Female,Yes,2023-11-27
C000422,45,Female,Yes,2023-11-17
C000423,61,Male,No,2022-11-09
C000424,28,Female,No,2021-06-07
C000425,39,Male,Yes,2021-10-17
C000426,68,Female,No,2022-08-16
C000427,68,Female,Yes,2024-06-24
C000428,28,Male,No,2024-04-11
C000429,49,Male,No,2022-11-02
C000430,65,Female,Yes,2022-10-19
C000431,20,Female,No,2024-01-28
C000432,55,Female,Yes,2025-01-28
C000433,30,Male,Yes,2025-11-23
C000434,35,Male,No,2023-04-11
C000435,37,Female,Yes,2022-05-15
C000436,58,Male,Yes,2024-01-06
C000437,33,Male,Yes,2021-07-20
C000438,68,Male,Yes,2021-10-30
C000439,46,Female,Yes,2024-07-16
C000440,57,Male,No,2023-03-04
C000441,30,Male,Yes,2023-04-02
C000442,23,Male,No,2022-11-25
C000443,18,Female,Yes,2022-12-13
C000444,18,Female,Yes,2025-03-26
C000445,54,Female,No,2021-03-14
C000446,55,Female,Yes,2022-07-31
C000447,22,Male,Yes,2021-08-27
C000448,31,Female,No,2021-09-20
C000449,30,Male,No,2024-05-18
C000450,57,Female,Yes,2023-07-15
C000451,59,Female,No,2021-10-25
C000452,59,Female,No,2025-11-20
C000453,60,Male,No,2021-09-17
C000454,40,Female,Yes,2025-10-03
C000455,56,Male,Yes,2021-03-08
C000456,30,Male,Yes,2021-08-13
C000457,43,Female,No,2021-07-13
C000458,64,Male,No,2024-08-30
C000459,18,Male,No,2021-05-05
C000460,29,Male,Yes,2021-06-22
C000461,44,Female,No,2022-06-02
C000462,58,Male,No,2026-02-14
C000463,58,Male,Yes,2023-10-17
C000464,68,Female,No,2023-07-22
C000465,57,Male,Yes,2025-01-21
C000466,62,Female,Yes,2022-12-06
C000467,70,Female,Yes,2025-05-27
C000468,18,Male,No,2022-06-25
C000469,22,Male,Yes,2024-11-19
C000470,21,Male,Yes,2021-07-20
C000471,61,Female,No,2025-06-15
C000472,29,Female,Yes,2021-11-19
C000473,67,Female,Yes,2025-05-27
C000474,43,Male,Yes,2022-12-22
C000475,22,Female,No,2023-07-16
C000476,50,Male,Yes,2025-08-20
C000477,42,Female,No,2024-08-19
C000478,40,Male,Yes,2022-02-17
C000479,25,Female,No,2021-07-08
C000480,20,Female,Yes,2025-08-18
C000481,48,Female,Yes,2022-08-28
C000482,29,Female,Yes,2025-09-05
C000483,35,Female,Yes,2025-06-24
C000484,62,Male,No,2024-01-04
C000485,67,Male,Yes,2025-04-27
C000486,67,Male,No,2021-11-27
C000487,42,Female,No,2025-07-13
C000488,20,Male,No,2021-05-21
C000489,68,Male,No,2021-07-18
C000490,19,Female,Yes,2021-04-27
C000491,36,Female,No,2024-09-08
C000492,44,Male,Yes,2022-02-23
C000493,39,Female,No,2021-07-03
C000494,46,Female,No,2022-06-21
C000495,21,Male,Yes,2023-05-23
C000496,26,Male,No,2021-10-18
C000497,31,Female,Yes,2024-04-09
C000498,27,Male,Yes,2022-08-06
C000499,61,Female,Yes,2022-11-16
C000500,24,Male,No,2021-05-03
C000501,43,Male,No,2023-06-22
C000502,56,Male,Yes,2022-12-24
C000503,56,Female,Yes,2022-10-23
C000504,47,Male,No,2025-12-16
C000505,27,Female,Yes,2025-03-07
C000506,68,Male,No,2021-11-02
C000507,70,Male,Yes,2022-04-30
C000508,45,Male,Yes,2022-06-13
C000509,64,Male,No,2022-07-21
C000510,21,Male,Yes,2024-07-13
C000511,42,Female,Yes,2025-05-07
C000512,35,Female,Yes,2024-12-22
C000513,20,Female,No,2022-01-25
C000514,30,Female,Yes,2023-10-08
C000515,66,Female,Yes,2023-03-07
C000516,32,Female,No,2025-06-24
C000517,58,Female,No,2021-08-31
C000518,60,Male,No,2024-06-10
C000519,54,Male,No,2023-09-27
C000520,58,Male,Yes,2023-03-07
C000521,25,Female,No,2023-12-29
C000522,45,Male,Yes,2024-10-04
C000523,42,Male,Yes,2023-02-27
C000524,47,Male,Yes,2026-02-03
C000525,40,Male,Yes,2021-05-12
C000526,32,Female,No,2025-09-18
C000527,35,Male,Yes,2021-03-21
C000528,19,Male,Yes,2022-04-27
C000529,18,Male,No,2022-09-29
C000530,47,Male,No,2025-01-18
C000531,56,Male,No,2025-12-20
C000532,46,Female,No,2021-06-17
C000533,36,Male,Yes,2024-08-29
C000534,55,Female,Yes,2023-04-06
C000535,68,Male,Yes,2022-07-19
C000536,64,Male,No,2025-10-09
C000537,59,Male,No,2024-07-28
C000538,28,Female,Yes,2022-11-16
C000539,40,Male,No,2022-07-12
C000540,34,Male,Yes,2022-08-21
C000541,51,Female,No,2023-03-17
C000542,47,Male,No,2026-02-21
C000543,62,Male,Yes,2025-06-29
C000544,56,Female,Yes,2022-05-04
C000545,20,Male,No,2021-03-06
C000546,67,Female,No,2024-03-03
C000547,54,Male,No,2025-08-28
C000548,61,Female,Yes,2025-09-26
C000549,60,Male,Yes,2025-09-15
C000550,58,Female,No,2023-07-14
C000551,44,Female,Yes,2021-07-17
C000552,55,Male,No,2023-09-10
C000553,21,Female,Yes,2023-09-24
C000554,25,Female,Yes,2024-03-03
C000555,53,Female,Yes,2024-01-29
C000556,66,Female,No,2022-08-19
C000557,22,Female,No,2023-04-24
C000558,58,Female,No,2026-02-28
C000559,62,Female,Yes,2022-02-21
C000560,55,Male,No,2025-01-19
C000561,49,Female,No,2025-02-19
C000562,60,Male,No,2023-10-27
C000563,64,Male,No,2022-07-31
C000564,25,Female,No,2025-04-21
C000565,65,Female,No,2025-11-24
C000566,55,Male,No,2026-02-15
C000567,64,Male,Yes,2023-11-10
C000568,43,Female,Yes,2024-08-20
C000569,52,Male,Yes,2023-04-05
C000570,18,Male,No,2023-09-26
C000571,35,Male,No,2024-05-30
C000572,65,Male,No,2021-12-05
C000573,53,Male,Yes,2024-02-22
C000574,39,Female,Yes,2024-12-26
C000575,64,Female,Yes,2022-07-27
C000576,45,Female,No,2026-03-02
C000577,61,Female,No,2022-06-02
C000578,42,Male,No,2022-03-08
C000579,31,Female,Yes,2021-05-01
C000580,32,Female,No,2025-02-01
C000581,45,Male,Yes,2024-12-28
C000582,32,Male,Yes,2023-12-09
C000583,63,Female,No,2023-08-03
C000584,49,Male,Yes,2025-08-08
C000585,49,Male,No,2023-02-23
C000586,51,Female,Yes,2021-04-14
C000587,40,Female,Yes,2022-09-04
C000588,31,Male,No,2021-04-05
C000589,19,Female,No,2022-09-16
C000590,37,Male,No,2023-10-10
C000591,40,Female,No,2022-12-08
C000592,47,Male,Yes,2022-10-26
C000593,26,Female,No,2024-06-13
C000594,67,Male,Yes,2024-08-15
C000595,52,Female,No,2023-03-31
C000596,67,Male,No,2025-10-20
C000597,42,Male,No,2022-09-25
C000598,56,Female,No,2022-02-11
C000599,21,Male,Yes,2023-04-24
C000600,36,Female,Yes,2023-12-26
C000601,39,Male,No,2024-09-01
C000602,50,Female,No,2022-05-18
C000603,24,Male,No,2025-07-20
C000604,18,Female,Yes,2023-09-26
C000605,39,Female,No,2021-06-10
C000606,45,Female,No,2024-01-13
C000607,70,Male,No,2023-07-29
C000608,65,Male,No,2023-08-17
C000609,57,Female,Yes,2021-08-28
C000610,67,Male,No,2023-08-10
C000611,36,Female,Yes,2024-01-11
C000612,28,Male,No,2023-11-05
C000613,38,Female,No,2022-02-13
C000614,60,Female,Yes,2025-02-23
C000615,22,Female,Yes,2022-10-18
C000616,31,Male,Yes,2024-10-28
C000617,52,Male,Yes,2024-02-28
C000618,57,Female,Yes,2023-10-09
C000619,41,Female,No,2025-11-29
C000620,56,Male,Yes,2023-02-18
C000621,68,Female,Yes,2024-12-14
C000622,32,Male,No,2024-01-05
C000623,39,Male,No,2025-11-01
C000624,66,Female,Yes,2024-09-14
C000625,33,Male,No,2022-06-20
C000626,24,Male,No,2023-02-28
C000627,52,Female,Yes,2022-01-23
C000628,26,Male,Yes,2021-10-09
C000629,40,Female,Yes,2025-11-26
C000630,32,Female,No,2021-07-24
C000631,48,Female,No,2022-07-01
C000632,32,Female,No,2025-10-29
C000633,43,Female,Yes,2024-07-27
C000634,49,Male,No,2023-04-21
C000635,24,Male,No,2023-04-12
C000636,42,Male,No,2021-12-04
C000637,43,Female,No,2025-08-03
C000638,39,Male,Yes,2024-04-23
C000639,53,Female,Yes,2022-08-08
C000640,68,Male,Yes,2025-10-17
C000641,32,Male,Yes,2023-03-31
C000642,44,Female,Yes,2021-09-19
C000643,32,Male,Yes,2022-01-13
C000644,47,Male,No,2022-08-16
C000645,47,Female,No,2024-11-17
C000646,50,Male,Yes,2025-09-10
C000647,20,Male,No,2026-01-30
C000648,39,Female,No,2022-03-23
C000649,31,Male,Yes,2024-08-28
C000650,57,Male,No,2022-03-21
C000651,19,Male,No,2023-10-06
C000652,48,Male,Yes,2021-08-16
C000653,68,Female,No,2025-05-03
C000654,61,Female,Yes,2026-01-15
C000655,46,Male,Yes,2024-12-14
C000656,35,Female,Yes,2022-11-28
C000657,53,Male,No,2025-11-25
C000658,54,Male,No,2022-08-27
C000659,56,Male,No,2025-05-10
C000660,33,Female,Yes,2021-03-21
C000661,51,Female,Yes,2021-12-11
C000662,52,Male,Yes,2023-12-29
C000663,46,Male,No,2022-10-28
C000664,50,Male,No,2023-10-29
C000665,67,Female,Yes,2023-05-18
C000666,24,Male,No,2022-12-14
C000667,24,Female,No,2023-07-25
C000668,63,Female,No,2021-10-26
C000669,63,Female,No,2022-07-20
C000670,68,Female,No,2026-02-27
C000671,60,Male,No,2023-04-22
C000672,50,Female,No,2022-02-11
C000673,56,Female,Yes,2021-03-28
C000674,38,Male,No,2022-06-10
C000675,24,Female,Yes,2025-11-03
C000676,58,Male,No,2025-06-06
C000677,55,Female,No,2022-08-20
C000678,28,Female,No,2023-01-14
C000679,38,Female,No,2021-12-20
C000680,51,Male,Yes,2022-05-31
C000681,41,Male,No,2025-08-23
C000682,42,Male,Yes,2022-08-17
C000683,20,Female,No,2024-12-04
C000684,69,Male,No,2021-11-15
C000685,64,Male,Yes,2025-05-31
C000686,24,Female,No,2023-06-21
C000687,45,Male,No,2024-12-13
C000688,65,Female,Yes,2025-09-27
C000689,19,Female,Yes,2021-07-16
C000690,18,Male,Yes,2021-08-19
C000691,65,Female,No,2023-12-19
C000692,26,Female,No,2023-02-11
C000693,37,Male,Yes,2022-02-26
C000694,20,Female,No,2024-06-02
C000695,53,Male,Yes,2023-05-03
C000696,18,Male,Yes,2025-10-14
C000697,67,Female,Yes,2022-10-25
C000698,57,Female,No,2023-01-25
C000699,49,Male,No,2023-12-04
C000700,47,Female,Yes,2021-08-05
C000701,44,Female,No,2025-09-26
C000702,63,Female,Yes,2023-01-18
C000703,40,Female,Yes,2021-10-27
C000704,57,Male,No,2023-06-15
C000705,25,Male,No,2024-08-29
C000706,20,Female,No,2023-10-08
C000707,43,Female,Yes,2021-06-09
C000708,37,Male,Yes,2023-10-09
C000709,41,Female,No,2022-07-21
C000710,51,Male,No,2025-08-23
C000711,63,Male,No,2024-09-16
C000712,26,Female,No,2022-06-26
C000713,20,Male,No,2025-12-31
C000714,36,Male,No,2022-05-01
C000715,45,Male,No,2021-10-16
C000716,22,Male,Yes,2024-03-04
C000717,63,Male,Yes,2023-03-02
C000718,65,Female,Yes,2022-04-13
C000719,34,Male,Yes,2021-06-14
C000720,59,Male,Yes,2025-11-15
C000721,49,Male,Yes,2023-05-18
C000722,34,Female,No,2024-01-15
C000723,66,Male,No,2023-07-12
C000724,26,Female,No,2023-11-09
C000725,50,Female,Yes,2023-05-11
C000726,48,Male,No,2023-02-04
C000727,46,Male,No,2024-01-25
C000728,59,Male,Yes,2025-01-06
C000729,36,Female,No,2025-05-05
C000730,51,Male,Yes,2024-01-05
C000731,64,Male,No,2025-06-23
C000732,24,Male,Yes,2022-01-05
C000733,35,Male,Yes,2023-04-04
